,CID,Description
1596,17534,6-chrysenamine is a carbopolycyclic compound.
1597,71264,Tiracizine is a dibenzooxazepine.
1598,7005,1-naphthol is a naphthol carrying a hydroxy group at position 1. It has a role as a genotoxin and a human xenobiotic metabolite.
1599,4764,Phenolphthalein is a member of phenols. It is functionally related to a 2-benzofuran-1(3H)-one.
1600,71655,N-(diaminomethylidene)-4-morpholinecarboximidamide is a member of biguanides.
1601,25160,"N-methylisatoic anhydride is a 3,1-benzoxazin-1,4-dione having an N-methyl substituent."
1602,21157,"S-butyl-DL-homocysteine (S,R)-sulfoximine is a sulfoximide that is the sulfoximine derivative of an analogue of DL-methionine in which the S-methyl group is replaced by S-butyl. It has a role as an EC 6.3.2.2 (glutamate--cysteine ligase) inhibitor and a ferroptosis inducer. It contains a D-buthionine-(S,R)-sulfoximine and a L-buthionine-(S,R)-sulfoximine."
1603,449,Mevalonic acid is a racemate composed of equimolar amounts of (R)- and (S)-mevalonic acid. It has a role as a human urinary metabolite and a mouse metabolite. It contains a (R)-mevalonic acid and a (S)-mevalonic acid. It is a conjugate acid of a mevalonate.
1604,7489,"Terephthalic acid is a benzenedicarboxylic acid carrying carboxy groups at positions 1 and 4. One of three possible isomers of benzenedicarboxylic acid, the others being phthalic and isophthalic acids. It is a conjugate acid of a terephthalate(1-)."
1605,107970,"Fingolimod is an aminodiol that consists of propane-1,3-diol having amino and 2-(4-octylphenyl)ethyl substituents at the 2-position. It is a sphingosine 1-phosphate receptor modulator used for the treatment of relapsing-remitting multiple sclerosis. A prodrug, fingolimod is phosphorylated by sphingosine kinase to active metabolite fingolimod-phosphate, a structural analogue of sphingosine 1-phosphate. It has a role as an immunosuppressive agent, a prodrug, an antineoplastic agent, a sphingosine-1-phosphate receptor agonist and a CB1 receptor antagonist. It is an aminodiol and a primary amino compound. It is a conjugate base of a fingolimod(1+)."
1606,3243437,"1-acetyl-N-propyl-3,4-dihydro-2H-quinoline-6-sulfonamide is a member of quinolines."
1607,6475,Chlorphenoxamine is a diarylmethane. It has a role as an anticoronaviral agent.
1608,4501,Nitidine is a member of phenanthridines.
1609,9860529,2-(4-morpholinyl)-4-benzo[h][1]benzopyranone is an organooxygen compound and an organic heterotricyclic compound.
1610,11552706,"6-[5-[(cyclopropylamino)-oxomethyl]-3-fluoro-2-methylphenyl]-N-(2,2-dimethylpropyl)-3-pyridinecarboxamide is a phenylpyridine."
1611,5452,"Thioridazine is a phenothiazine derivative having a methylsulfanyl subsitituent at the 2-position and a (1-methylpiperidin-2-yl)ethyl] group at the N-10 position. It has a role as a serotonergic antagonist, a H1-receptor antagonist, an alpha-adrenergic antagonist, a dopaminergic antagonist, a first generation antipsychotic, an EC 3.4.21.26 (prolyl oligopeptidase) inhibitor and an EC 1.8.1.12 (trypanothione-disulfide reductase) inhibitor. It is a member of phenothiazines and a member of piperidines. It contains a methylsulfanyl group."
1612,135418940,"XAV939 is a thiopyranopyrimidine in which a 7,8-dihydro-5H-thiopyrano[4,3-d]pyrimidine skeleton is substituted at C-4 by a hydroxy group and at C-2 by a para-(trifluoromethyl)phenyl group. It has a role as a tankyrase inhibitor. It is a thiopyranopyrimidine and a member of (trifluoromethyl)benzenes."
1613,211017,1H-indol-3-yl-(4-methoxyphenyl)methanone is a N-acylindole.
1614,23897,Molindone is a member of indoles.
1615,1262256,"1-(3,4-dimethoxyphenyl)sulfonyl-4-(2,6-dimethylphenyl)piperazine is a member of piperazines."
1616,69867,Indole-3-carboxylic acid is an indole-3-carboxylic acid carrying a carboxy group at position 3. It has a role as a human metabolite and a bacterial metabolite. It is a conjugate acid of an indole-3-carboxylate.
1617,2757,4-quinolyl(5-vinyl-1-azabicyclo[2.2.2]oct-2-yl)methanol is a cinchona alkaloid.
1618,72871,4-oxo-4-phenylbutyric acid is a 4-oxo monocarboxylic acid that is butyric acid bearing oxo and phenyl substituents at position 4. It has a role as a hapten. It is functionally related to a butyric acid.
1619,657298,"6-propyl-2-thiouracil is a pyrimidinethione consisting of uracil in which the 2-oxo group is substituted by a thio group and the hydrogen at position 6 is substituted by a propyl group. It has a role as an antithyroid drug, a carcinogenic agent, an antimetabolite, a hormone antagonist, an EC 1.14.13.39 (nitric oxide synthase) inhibitor, an antioxidant and an antidote to paracetamol poisoning. It is functionally related to a uracil."
1620,1355631,4-(dimethylsulfamoyl)-N-(1-ethyl-2-oxo-6-benzo[cd]indolyl)benzamide is a member of isoindoles.
1621,705661,5-methyl-4-[(2-oxo-1-benzopyran-7-yl)oxymethyl]-2-furancarboxylic acid methyl ester is a member of coumarins.
1622,2796,"Clofibrate is the ethyl ester of clofibric acid. It has a role as an anticholesteremic drug, an antilipemic drug, a geroprotector and a PPARalpha agonist. It is an aromatic ether, a member of monochlorobenzenes and an ethyl ester. It is functionally related to a clofibric acid."
1623,2809650,5-(4-morpholinylsulfonyl)-N-[4-(trifluoromethoxy)phenyl]-2-furancarboxamide is an aromatic amide and a member of furans.
1624,4336830,"N'-acetyl-3-chloro-6H-benzo[b][1,4]benzoxazepine-5-carbohydrazide is an aromatic ether."
1625,2914673,"N-(5-tert-butyl-1,3,4-thiadiazol-2-yl)-2-phenyl-4-quinolinecarboxamide is a member of quinolines."
1626,681885,2-(3-carboxy-2-pyridinyl)-3-pyridinecarboxylic acid is a member of bipyridines.
1627,22955,"(R,S)-Scoulerine is an alkaloid."
1628,644427,"2-[(6-chloro-2-oxo-4-propyl-1-benzopyran-7-yl)oxy]-N,N-dimethylacetamide is a member of coumarins."
1629,10025103,N-stearoyl dopamine is a carboxamide. It is functionally related to a dopamine.
1630,71301,"2,2'-iminobis[1-(6-fluoro-3,4-dihydro-2H-chromen-2-yl)ethanol] is a member of the class of chromanes that is 2,2'-iminodiethanol in which one hydrogen attached to each hydroxy-bearing carbon is replaced by a 6-fluorochroman-2-yl group. It is an organofluorine compound, a secondary amino compound, a secondary alcohol, a diol and a member of chromanes."
1631,2512,"N-[3-(dimethylamino)propyl]-N-(ethylcarbamoyl)-7-prop-2-enyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide is an ergoline alkaloid."
1632,2805615,Methyl 4-(aminocarbonyl)-n-cyanotetrahydropyridine-1(2H)-carbimidothioate is a piperidinecarboxamide.
1633,51,2-oxoglutaric acid is an oxo dicarboxylic acid that consists of glutaric acid bearing an oxo substituent at position 2. It is an intermediate metabolite in Krebs cycle. It has a role as a fundamental metabolite. It is functionally related to a glutaric acid. It is a conjugate acid of a 2-oxoglutarate(1-).
1634,3243512,LSM-16579 is a monoterpenoid.
1635,71815,"Secnidazole is a C-nitro compound that is 5-nitroimidazole in which the hydrogens at positions 1 and 2 are replaced by 2-hydroxypropyl and methyl groups, respectively. It has a role as an epitope. It is a C-nitro compound, a member of imidazoles and a secondary alcohol."
1636,2763,"Ciprofibrate is a monocarboxylic acid, a member of cyclopropanes and an organochlorine compound. It has a role as an antilipemic drug."
1637,114518,(1S)-(-)-Camphanic acid is a delta-lactone.
1638,11154555,"Cariprazine is an N-alkylpiperazine that is N,N-dimethyl-N'-{trans-4-[2-(piperazin-1-yl)ethyl]cyclohexyl}urea substituted at position 4 on the piperazine ring by a 2,3-dichlorophenyl group. Used (as the hydrochloride salt) for treatment of schizophrenia and bipolar disorder. It has a role as a dopamine agonist, a second generation antipsychotic and a serotonergic antagonist. It is a member of ureas, a N-alkylpiperazine, a N-arylpiperazine and a dichlorobenzene. It is a conjugate base of a cariprazine(1+)."
1639,2885307,"3-[[[1,3-dioxo-2-(2-oxolanylmethyl)-5-isoindolyl]-oxomethyl]amino]benzoic acid is an aromatic amide."
1640,2284,"Baclofen is a monocarboxylic acid that is butanoic acid substituted by an amino group at position 4 and a 4-chlorophenyl group at position 3. It acts as a central nervous system depressant, GABA agonist and muscle relaxant. It has a role as a muscle relaxant, a central nervous system depressant and a GABA agonist. It is a monocarboxylic acid, a primary amino compound, a member of monochlorobenzenes and a gamma-amino acid. It is a tautomer of a baclofen zwitterion."
1641,78422631,Baclofen zwitterion is an amino acid zwitterion obtained by transfer of a proton from the carboxy to the amino group of baclofen. It is a tautomer of a baclofen.
1642,2688,"7-chloro-5-(2-chlorophenyl)-1,5-dihydro-4,1-benzothiazepin-2-one is a benzothiazepine."
1643,5358,"Sumatriptan is a sulfonamide that consists of N,N-dimethyltryptamine bearing an additional (N-methylsulfamoyl)methyl substituent at position 5. Selective agonist for a vascular 5-HT1 receptor subtype (probably a member of the 5-HT1D family). Used (in the form of its succinate salt) for the acute treatment of migraine with or without aura in adults. It has a role as a serotonergic agonist and a vasoconstrictor agent. It is a sulfonamide and a member of tryptamines. It is functionally related to a N,N-dimethyltryptamine. It is a conjugate acid of a sumatriptan(1+)."
1644,3806,"Juglone is a hydroxy-1,4-naphthoquinone that is 1,4-naphthoquinone in which the hydrogen at position 5 has been replaced by a hydroxy group. A plant-derived 1,4-naphthoquinone with confirmed antibacterial and antitumor activities. It has a role as a herbicide, a reactive oxygen species generator and a geroprotector."
1645,91885989,"CHZ868 is a memger of the class of benzimidazoles that is benzimidazole that is substituted by methyl groups at positions 1 and 4, by a 2,4-difluoroanilino group at position 2, and by a (2-acetamidopyridin-4-yl)oxy group at position 5. It is a type II JAK2 inhibitor with antineoplastic activity. It has a role as an EC 2.7.10.2 (non-specific protein-tyrosine kinase) inhibitor and an antineoplastic agent. It is a member of benzimidazoles, a member of acetamides, a member of pyridines, a difluorobenzene, an aromatic ether, a secondary amino compound and an aromatic amine."
1646,9061,5-Hydroxytryptophol is a member of indoles.
1647,14925,Tricarballylic acid is a tricarboxylic acid that is glutaric acid in which one of the beta-hydrogens is substituted by a carboxy group. It is a conjugate acid of a tricarballylate.
1648,17583883,"1-(2,3-Dihydro-1,4-benzodioxin-3-ylmethyl)-5-methoxy-isatin is a benzodioxine. It has a role as an anticoronaviral agent."
1649,160921,"Nevadensin is a trimethoxyflavone that is flavone substituted by methoxy groups at positions 6, 8 and 4' and hydroxy groups at positions 5 and 7 respectively. It has a role as a plant metabolite. It is a trimethoxyflavone and a dihydroxyflavone. It is functionally related to a flavone. It is a conjugate acid of a nevadensin-7-olate."
1650,311,"Citric acid is a tricarboxylic acid that is propane-1,2,3-tricarboxylic acid bearing a hydroxy substituent at position 2. It is an important metabolite in the pathway of all aerobic organisms. It has a role as a food acidity regulator, a chelator, an antimicrobial agent and a fundamental metabolite. It is a conjugate acid of a citrate(1-) and a citrate anion."
1651,2160,"Amitriptyline is an organic tricyclic compound that is 10,11-dihydro-5H-dibenzo[a,d][7]annulene substituted by a 3-(dimethylamino)propylidene group at position 5. It has a role as an adrenergic uptake inhibitor, an antidepressant, an environmental contaminant, a xenobiotic and a tropomyosin-related kinase B receptor agonist. It is a tertiary amine and a carbotricyclic compound. It derives from a hydride of a dibenzo[a,d][7]annulene."
1652,219081,3-[4-(2-hydroxyethyl)-1-piperazinyl]-1-[2-(trifluoromethyl)-10-phenothiazinyl]-1-propanone is a member of phenothiazines.
1653,659684,"1-[(1,3-benzothiazol-2-ylthio)methyl]-2-azepanone is a member of benzothiazoles."
1654,3182,"Dyphylline is an oxopurine that is theophylline bearing a 2,3-dihydroxypropyl group at the 7 position. It has broncho- and vasodilator properties, and is used in the treatment of asthma, cardiac dyspnea, and bronchitis. It is also an ingredient in preparations that have been promoted for coughs. It has a role as a bronchodilator agent, a vasodilator agent, an EC 3.1.4.* (phosphoric diester hydrolase) inhibitor and a muscle relaxant. It is an oxopurine and a member of propane-1,2-diols."
1655,709,3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid is a hydroxycinnamic acid.
1656,135413504,6-methoxy-N-[(1-prop-2-enyl-2-pyrrolidinyl)methyl]-2H-benzotriazole-5-carboxamide is a member of benzotriazoles.
1657,9578572,"Dabigatran etexilate is an aromatic amide obtained by formal condensation of the carboxy group of 2-{[(4-{N'-[(hexyloxy)carbonyl]carbamimidoyl}phenyl)amino]methyl}-1-methyl-1H-benzimidazole-5-carboxylic acid with the secondary amino group of ethyl N-pyridin-2-yl-beta-alaninate. A prodrug for dabigatran, a thrombin inhibitor and anticoagulant which is used for the prevention of stroke and systemic embolism. It has a role as an anticoagulant, a prodrug and an EC 3.4.21.5 (thrombin) inhibitor. It is a member of benzimidazoles, an aromatic amide, a carboxylic ester, a carboxamidine, a member of pyridines and a beta-alanine derivative. It is functionally related to a dabigatran. It is a conjugate base of a dabigatran etexilate(1+)."
1658,2568758,"2-[[(3-methylphenyl)-oxomethyl]amino]benzoic acid (3,5-dimethyl-4-isoxazolyl)methyl ester is a member of benzamides."
1659,30668,"Lofexidine is a member of imidazoles, a dichlorobenzene, an aromatic ether and a carboxamidine. It has a role as an alpha-adrenergic agonist and an antihypertensive agent."
1660,25561,N(2)-acetylglutamine is a glutamine derivative with an acetyl group bound at the alpha-amino group. It has a role as a human urinary metabolite. It is a N-acetyl-amino acid and a N(2)-acylglutamine.
1661,8175,"Decanal is a saturated fatty aldehyde formally arising from reduction of the carboxy group of capric acid (decanoic acid). It has a role as an antifungal agent, a fragrance and a plant metabolite. It is a saturated fatty aldehyde, a n-alkanal and a medium-chain fatty aldehyde."
1662,1266440,N-(2-fluorophenyl)-2-[2-(4-thiazolyl)-1-benzimidazolyl]acetamide is a member of benzimidazoles.
1663,1459738,"N-(2,3-dihydro-1H-inden-5-yl)-5-methyl-2-pyrazinecarboxamide is a member of indanes."
1664,10715,Apronal is a N-acylurea.
1665,4553,"NS-398 is a C-nitro compound that is N-methylsulfonyl-4-nitroaniline bearing an additional cyclohexyloxy substituent at position 2. It has a role as a cyclooxygenase 2 inhibitor and an antineoplastic agent. It is a sulfonamide, an aromatic ether and a C-nitro compound. It is functionally related to a 4-nitroaniline."
1666,11597571,"Rac-crizotinib is a racemate comprising equimolar amounts of (R)- and (S)-crizotinib. The active (R)-enantiomer acts as a kinase inhibitor and is used for the treatment of patients with locally advanced or metastatic non-small cell lung cancer. It has a role as an antineoplastic agent, a biomarker and an EC 2.7.10.1 (receptor protein-tyrosine kinase) inhibitor. It contains an ent-crizotinib and a crizotinib."
1667,74706,Methyl (indol-3-yl)acetate is the methyl ester of indole-3-acetic acid. It has a role as an antineoplastic agent and a metabolite. It is a member of indoles and a methyl ester. It is functionally related to an indole-3-acetic acid.
1668,24819580,"1-(2-methoxy-5-methylphenyl)-3-(1,2,3,4-tetrahydronaphthalen-1-yl)urea is a member of tetralins."
1669,3244985,"1-[(6-methoxy-2-furo[2,3-b]quinolinyl)-oxomethyl]-4-piperidinecarboxylic acid ethyl ester is an organic heterotricyclic compound, an organonitrogen heterocyclic compound and an oxacycle."
1670,5291,"Imatinib is a benzamide obtained by formal condensation of the carboxy group of 4-[(4-methylpiperazin-1-yl)methyl]benzoic acid with the primary aromatic amino group of 4-methyl-N(3)-[4-(pyridin-3-yl)pyrimidin-2-yl]benzene-1,3-diamine. Used (as its mesylate salt) for treatment of chronic myelogenous leukemia and gastrointestinal stromal tumours. It has a role as an apoptosis inducer, a tyrosine kinase inhibitor and an antineoplastic agent. It is a N-methylpiperazine, a member of pyridines, a member of benzamides, an aromatic amine and a member of pyrimidines. It is functionally related to a benzamide."
1671,5455,"Thiram is an organic disulfide that results from the formal oxidative dimerisation of N,N-dimethyldithiocarbamic acid. It is widely used as a fungicidal seed treatment. It has a role as an antibacterial drug, an antiseptic drug and an antifungal agrochemical. It contains a dimethyldithiocarbamate. It is functionally related to a dimethyldithiocarbamic acid."
1672,68313,Hordenine is a phenethylamine alkaloid. It has a role as a human metabolite and a mouse metabolite.
1673,9885087,3-[bis(4-methoxyphenyl)methylidene]-1H-indol-2-one is a diarylmethane.
1674,2777,N-[4-(4-morpholinyl)butyl]-2-benzofurancarboxamide is a member of benzofurans.
1675,2729027,"1-(3,6-dibromo-9-carbazolyl)-3-(1-piperazinyl)-2-propanol is a member of bromobenzenes and a member of biphenyls."
1676,7700,Tergitol is a poly(ethylene glycol) derivative that is poly(ethylene glycol) in which one of the terminal hydroxy groups has been converted into the corresponding p-nonylphenyl ether. It has a role as a nonionic surfactant. It is a poly(ethylene glycol) derivative and a hydroxypolyether.
1677,2862751,"2-[[oxo(thiophen-2-yl)methyl]amino]-6-propyl-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxamide is a member of thiophenes and an aromatic amide."
1678,11158353,"Fluopyram is a member of the class of benzamides, obtained by formal condensation of the carboxy group of 2-(trifluoromethyl)benzoic acid with the amino group of 2-[3-chloro-5-(trifluoromethyl)pyridin-2-yl]ethylamine. A fungicide used for foiliar application and as a seed treatment in order to control botrystis, powdery mildew and other diseases. It has a role as an EC 1.3.5.1 [succinate dehydrogenase (quinone)] inhibitor and an antifungal agrochemical. It is a member of benzamides, an organochlorine compound, a member of pyridines, a member of (trifluoromethyl)benzenes and a benzamide fungicide."
1679,26176,Tris(1-chloropropan-2-yl) phosphate is a trialkyl phosphate.
1680,119802,5-Methoxy-DL-tryptophan is a member of tryptamines. It is functionally related to a serotonin.
1681,5319502,"6,7-dihydroxy-4-methylcoumarin is a hydroxycoumarin that is 4-methylcuomarin which is substituted by hydroxy groups at positions 3 and 4. A hyaluronan synthesis inhibitor. It has also been used as a fluorescent sensor to monitor the consumption of a boronic acid in Suzuki coupling reactions; fluorescence is readily detectable by the naked eye using a standard 365 nm UV lamp. It has a role as a hyaluronan synthesis inhibitor, an antioxidant and an anti-inflammatory agent."
1682,18614,"Methyl 4-aminobutanoate is a methyl ester resulting from the formal condensation of gamma-aminobutyric acid with methanol. It is a primary amino compound, an amino acid ester and a methyl ester. It is functionally related to a gamma-aminobutyric acid."
1683,421610,"GANT61 is an aminal that is hexahydropyrimidine which is substituted on each nitrogen by a 2-(dimethylamino)benzyl group, and at the aminal carbon by a pyridin-4-yl group. A Hedgehog signaling pathway and Gli protein inhibitor. It has a role as a Hedgehog signaling pathway inhibitor, a glioma-associated oncogene inhibitor, an antineoplastic agent and an apoptosis inducer. It is a tertiary amino compound, a member of pyridines, a substituted aniline and an aminal."
1684,14868,Tribromosalicylanilide is a salicylanilide derivative with bromo- substituents at C-3 and C-5 of the salicylate moiety and at C-4 of the anilide moiety. It is functionally related to a salicylanilide.
1685,102861,Methyl 2-(3-oxo-2-pentylcyclopentyl)acetate is a lipid. It is functionally related to a jasmonic acid.
1686,72138,Tolonidine is a substituted aniline.
1687,247,"Glycine betaine is the amino acid betaine derived from glycine. It has a role as a fundamental metabolite. It is an amino-acid betaine and a glycine derivative. It is a conjugate base of a N,N,N-trimethylglycinium."
1688,248,"N,N,N-trimethylglycinium is a quaternary ammonium ion in which the substituents on nitrogen are methyl (three) and carboxymethyl. It has a role as a fundamental metabolite. It is a conjugate acid of a glycine betaine."
1689,7410,"Acetophenone is a methyl ketone that is acetone in which one of the methyl groups has been replaced by a phenyl group. It has a role as a photosensitizing agent, an animal metabolite and a xenobiotic."
1690,2331,Benzamide is an aromatic amide that consists of benzene bearing a single carboxamido substituent. The parent of the class of benzamides.
1691,108107,Benzamil is a member of pyrazines and a member of guanidines.
1692,2933863,3-chloro-N-[3-(1-imidazolyl)propyl]-6-nitro-1-benzothiophene-2-carboxamide is a member of 1-benzothiophenes.
1693,2232,"1-[2-[(3-Methyl-1,2,3,4-tetrahydroquinoline-8-yl)sulfonylamino]-5-guanidinopentanoyl]-4-methylpiperidine-2-carboxylic acid is a dipeptide."
1694,9047,"Sulfamethopyrazine is a member of pyrazines, a sulfonamide and a sulfonamide antibiotic."
1695,65067,"2,2':5',2''-terthiophene is a terthiophene."
1696,745548,(5-hydroxy-2-phenyl-3-benzofuranyl)-(4-morpholinyl)methanone is a member of benzofurans.
1697,2741256,4-(2-fluorophenyl)-N-(2-methylbut-3-yn-2-yl)benzamide is a member of biphenyls.
1698,4628,"Oxolinic acid is a quinolinemonocarboxylic acid having the carboxy group at position 7 as well as oxo and ethyl groups at positions 4 and 1 respectively and a dioxolo ring fused at the 5- and 6-positions. A synthetic antibiotic, it is used in veterinary medicine for the treatment of bacterial infections in cattle, pigs and poultry. It has a role as an antiinfective agent, an antibacterial drug, an enzyme inhibitor, an antimicrobial agent and an antifungal agent. It is a quinolinemonocarboxylic acid, an organic heterotricyclic compound, an aromatic carboxylic acid, an oxacycle and a quinolone antibiotic. It is a conjugate acid of an oxolinate."
1699,4977,Proxyphylline is an oxopurine.
1700,2194,Anetholtrithion is a member of methoxybenzenes.
1701,4122,"Nocodazole is a member of the class of benzimidazoles that is benzimidalole which is substituted at position 2 by a (methoxycarbonyl)amino group and at position 5 by a 2-thienoyl group. It is an antineoplastic agent that exerts its effect by depolymerising microtubules. It has a role as an antineoplastic agent, a tubulin modulator, an antimitotic and a microtubule-destabilising agent. It is a member of thiophenes, a member of benzimidazoles, a carbamate ester and an aromatic ketone."
1702,8163,Undecan-2-one is a dialkyl ketone with methyl and nonyl as the two alkyl groups. It has a role as a rodenticide and a plant metabolite. It is a dialkyl ketone and a methyl ketone.
1703,213053,"Cimicoxib is an imidazole substituted at positions 1, 4 and 5 by 4-aminosulfonylphenyl, chloro and 3-fluoro-4-methyoxyphenyl groups respectively. A selective cyclooxygenase 2 inhibitor, it is used in veterinary medicine for the control of pain and inflammation associated with osteoarthritis in dogs. It has a role as a cyclooxygenase 2 inhibitor and a non-steroidal anti-inflammatory drug. It is a sulfonamide, a member of imidazoles, an organochlorine compound, an organofluorine compound and an aromatic ether."
1704,125017,"O-desmethylvenlafaxine is a tertiary amino compound that is N,N-dimethylethanamine substituted at position 1 by a 1-hydroxycyclohexyl and 4-hydroxyphenyl group. It is a metabolite of the drug venlafaxine. It has a role as a marine xenobiotic metabolite, a drug metabolite and an antidepressant. It is a member of cyclohexanols, a member of phenols and a tertiary amino compound."
1705,3237453,"3-[[4,6-bis(4-morpholinyl)-1,3,5-triazin-2-yl]amino]-3-(2-chlorophenyl)propanoic acid ethyl ester is an aromatic amine and a member of 1,3,5-triazines."
1706,2079709,Benzoic acid [2-oxo-2-[2-(phenylthio)anilino]ethyl] ester is an aryl sulfide.
1707,54685651,"1-allyl-4-hydroxy-2-oxo-N-(1,3-thiazol-2-yl)-1,2-dihydroquinoline-3-carboxamide is a member of the class of quinolones that is the amide obtained from formal condensation of the carboxy group of 1-allyl-4-hydroxy-2-oxo-1,2-dihydroquinoline-3-carboxylic acid with the amino group of 2-amino-1,3-thiazole. It is a member of 1,3-thiazoles, a monocarboxylic acid amide, a monohydroxyquinoline, a quinolone and an olefinic compound."
1708,374536,[5-[5-[5-(hydroxymethyl)-2-thiophenyl]-2-furanyl]-2-thiophenyl]methanol is a member of thiophenes.
1709,5280443,"Apigenin is a trihydroxyflavone that is flavone substituted by hydroxy groups at positions 4', 5 and 7. It induces autophagy in leukaemia cells. It has a role as a metabolite and an antineoplastic agent. It is a conjugate acid of an apigenin-7-olate."
1710,70335,Demethylated antipyrine is a ring assembly and a member of pyrazoles.
1711,1182,Valine is a branched-chain amino acid that consists of glycine in which one of the hydrogens attached to the alpha-carbon is substituted by an isopropyl group. It has a role as a plant metabolite and a Daphnia magna metabolite. It is a branched-chain amino acid and an alpha-amino acid. It contains an isopropyl group. It is a conjugate base of a valinium. It is a conjugate acid of a valinate.
1712,69310,Tricaprin is a triglyceride obtained by formal acylation of the three hydroxy groups of glycerol by capric (decanoic) acid. It is a triglyceride and a decanoate ester.
1713,77050682,"CCT251545 is a chloropyridine that is 3-chloropyridine substituted by a 1-oxo-2,8-diazaspiro[4.5]decan-8-yl group and a 4-(1-methyl-1H-pyrazol-4-yl)phenyl group at positions 4 and 5, respectively. It is an orally bioavailable inhibitor of Wnt signaling (IC50 = 5 nM) and a potent and selective chemical probe for cyclin-dependent kinases CDK8 and CDK19. It has a role as a Wnt signalling inhibitor, an antineoplastic agent and an EC 2.7.11.22 (cyclin-dependent kinase) inhibitor. It is a chloropyridine, a member of pyrazoles and an azaspiro compound."
1714,47528,"Nicorandil is a pyrimidinecarboxamide that is nicotinamide in which one of the hydrogens attached to the carboxamide nitrogen is replaced by a 2-(nitrooxy)ethyl group. It has both nitrate-like and ATP-sensitive potassium channel activator properties, and is used for the prevention and treatment of angina pectoris. It has a role as a vasodilator agent and a potassium channel opener. It is a pyridinecarboxamide and a nitrate ester. It is functionally related to a nicotinamide."
1715,12575,3-hydroxy-4-methoxybenzoic acid is a methoxybenzoic acid that is 4-methoxybenzoic acid bearing a hydroxy substituent at position 3. It has a role as an antibacterial agent and a plant metabolite. It is a methoxybenzoic acid and a monohydroxybenzoic acid. It is a conjugate acid of a 3-hydroxy-4-methoxybenzoate.
1716,449054,"1,5-naphthyridine, 2-[3-(6-methyl-2-pyridinyl)-1h-pyrazol-4-yl]- is a pyrazolopyridine."
1717,73890923,"HA15 is a sulfonamide resulting from the formal condensation of the sulfonic acid group of 5-(dimethylamino)naphthalene-1-sulfonic acid with the aniline nitrogen of 3-(2-acetamido-1,3-thiazol-4-yl)aniline. It has been reported that by triggering an endoplasmic reticulum (ER) stress response, HA15 can reduce the viability of melanoma cells without being toxic to normal cells. It has a role as an antineoplastic agent. It is a sulfonamide, a member of 1,3-thiazoles, a member of acetamides, a tertiary amino compound, an aminonaphthalene and a biaryl."
1718,124072,"Tetrahydrocurcumin is a beta-diketone that is curcumin in which both of the double bonds have been reduced to single bonds. It has a role as a metabolite. It is a beta-diketone, a polyphenol and a diarylheptanoid. It is functionally related to a curcumin."
1719,2804,"4-chloro-N-(2,6-dimethyl-1-piperidinyl)-3-sulfamoylbenzamide is a sulfonamide."
1720,9212,"5H-dibenzo[b,f]azepine is a mancude organic heterotricyclic parent that consists of a seven-membered nitrogen hetrocycle fused with two benzene rings. It has a role as a marine xenobiotic metabolite. It is a mancude organic heterotricyclic parent and a dibenzoazepine."
1721,2745204,1-piperidinyl-(5-thiophen-2-yl-3-isoxazolyl)methanone is a N-acylpiperidine.
1722,3679006,N-carbamoylglutamic acid is a glutamic acid derivative that is glutamic acid substituted by a carbamoyl group at the nitrogen atom. It has a role as a human metabolite. It is a glutamic acid derivative and a member of ureas.
1723,1060,Pyruvic acid is a 2-oxo monocarboxylic acid that is the 2-keto derivative of propionic acid. It is a metabolite obtained during glycolysis. It has a role as a fundamental metabolite and a cofactor. It is functionally related to a propionic acid. It is a conjugate acid of a pyruvate.
1724,6127,"4-(diphenylmethylene)-1,1-dimethylpiperidin-1-ium is a diarylmethane."
1725,24748204,4-(3-chloro-2-fluorophenoxy)-1-[[6-(2-thiazolylamino)-2-pyridinyl]methyl]-1-cyclohexanecarboxylic acid is an aromatic ether.
1726,21453,"Diaveridine is an aminopyrimidine in which the pyrimidine ring carries amino substituents at C-2 and C-4 and a 3,4-dimethoxybenzyl group at C-5. A folic acid antagonist, it is used as a synergist with sulfonamides against the parasitic Eimeria species. It has a role as an antiparasitic agent and a drug allergen."
1727,144,5-hydroxytryptophan is a tryptophan derivative that is tryptophan substituted by a hydroxy group at position 5. It has a role as a human metabolite and a neurotransmitter.
1728,135411,"CD437 is a naphthoic acid that is 6-phenylnaphthylene-2-carboxyic acid in which the phenyl substituent has been substituted at positions 3 and 4 by adamant-1-yl and hydroxy groups, respectively. It acts as a selective agonist of retinoic acid receptor (RAR)gamma and induces cell cycle arrest and apoptosis in various cancer cells. It has a role as an apoptosis inducer and a retinoic acid receptor gamma agonist. It is a member of adamantanes, a monocarboxylic acid, a naphthoic acid and a member of phenols."
1729,31316,Thymophthalein is a terpene lactone.
1730,4199,"Minaprine is a member of pyridazines, a secondary amine and a member of morpholines. It has a role as an antidepressant, a serotonin uptake inhibitor, a dopamine uptake inhibitor, a cholinergic drug and an antiparkinson drug."
