Unnamed: 0,CID,Description,Dominant_topic,Perc_Contrib,Topic_Keywords,Text
1939,938851,2-thiophenecarboxylic acid (6-methyl-2-oxo-1H-quinolin-3-yl)methyl ester is a member of quinolines.,No annotation,0.8355,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['thiophenecarboxyl', 'acid', 'methyl', 'oxo', 'h', 'quinolin', 'yl', 'methyl', 'ester', 'member', 'quinolin']"
1940,216239,"Sorafenib is a member of the class of phenylureas that is urea in which one of the nitrogens is substituted by a 4-chloro-3-trifluorophenyl group while the other is substituted by a phenyl group which, in turn, is substituted at the para position by a [2-(methylcarbamoyl)pyridin-4-yl]oxy group. It has a role as an antineoplastic agent, an EC 2.7.11.1 (non-specific serine/threonine protein kinase) inhibitor, a tyrosine kinase inhibitor, an angiogenesis inhibitor, an anticoronaviral agent and a ferroptosis inducer. It is a pyridinecarboxamide, a member of monochlorobenzenes, an aromatic ether, a member of (trifluoromethyl)benzenes and a member of phenylureas.",Drug,0.7801,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['sorafenib', 'member', 'class', 'phenylurea', 'urea', 'one', 'nitrogen', 'substitut', 'chloro', 'trifluorophenyl', 'group', 'substitut', 'phenyl', 'group', 'turn', 'substitut', 'para', 'posit', 'methylcarbamoyl', 'pyridin', 'yl', 'oxi', 'group', 'role', 'antineoplast', 'agent', 'ec', 'non', 'specif', 'serin', 'threonin', 'protein', 'kinas', 'inhibitor', 'tyrosin', 'kinas', 'inhibitor', 'angiogenesi', 'inhibitor', 'anticoronavir', 'agent', 'ferroptosi', 'induc', 'pyridinecarboxamid', 'member', 'monochlorobenzen', 'aromat', 'ether', 'member', 'trifluoromethyl', 'benzen', 'member', 'phenylurea']"
1941,4247,"Monodansylcadaverine is a sulfonamide obtained by formal condensation of the sulfo group of 5-(dimethylamino)naphthalene-1-sulfonic acid with one of the amino groups of cadaverine. It has a role as a fluorochrome, a protective agent and an EC 2.3.2.13 (protein-glutamine gamma-glutamyltransferase) inhibitor. It is a sulfonamide, an aminonaphthalene, a tertiary amino compound and a primary amino compound. It is functionally related to a cadaverine.",Metabolite,0.4909,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['monodansylcadaverin', 'sulfonamid', 'obtain', 'formal', 'condens', 'sulfo', 'group', 'dimethylamino', 'naphthalen', 'sulfon', 'acid', 'one', 'amino', 'group', 'cadaverin', 'role', 'fluorochrom', 'protect', 'agent', 'ec', 'protein', 'glutamin', 'gamma', 'glutamyltransferas', 'inhibitor', 'sulfonamid', 'aminonaphthalen', 'tertiari', 'amino', 'compound', 'primari', 'amino', 'compound', 'function', 'relat', 'cadaverin']"
1942,135564599,"N-{5-[2-{4-[2-(dimethylamino)ethoxy]phenyl}-4-(pyridin-4-yl)-1H-imidazol-5-yl]-2,3-dihydro-1H-inden-1-ylidene}hydroxylamine is a ketoxime that is the oxime of indan-1-one in which the hydrogen at position 5 has been replaced by an imidazol-5-yl group which has itself been substituted at positions 2 and 4 by p-[2-(dimethylamino)ethoxy]phenyl and pyridin-4-yl groups, respectively. It is a ketoxime, a member of imidazoles, a tertiary amino compound, an aromatic ether and a member of pyridines.",No annotation,0.6172,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['n', 'dimethylamino', 'ethoxi', 'phenyl', 'pyridin', 'yl', 'h', 'imidazol', 'yl', 'dihydro', 'h', 'inden', 'yliden', 'hydroxylamin', 'ketoxim', 'oxim', 'indan', 'one', 'hydrogen', 'posit', 'replac', 'imidazol', 'yl', 'group', 'substitut', 'posit', 'p', 'dimethylamino', 'ethoxi', 'phenyl', 'pyridin', 'yl', 'group', 'respect', 'ketoxim', 'member', 'imidazol', 'tertiari', 'amino', 'compound', 'aromat', 'ether', 'member', 'pyridin']"
1943,54079164,"1-(5-hydroxy-2-oxo-2,3-dihydroimidazol-4-yl)urea is an imidazolidinone that is imidazolin-2-one substituted at positions 4 and 5 by hydroxy and ureido groups respectively. It is a member of ureas and an imidazolidinone. It is functionally related to a hydantoin. It is a tautomer of an allantoin.",Metabolite,0.4457,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['hydroxi', 'oxo', 'dihydroimidazol', 'yl', 'urea', 'imidazolidinon', 'imidazolin', 'one', 'substitut', 'posit', 'hydroxi', 'ureido', 'group', 'respect', 'member', 'urea', 'imidazolidinon', 'function', 'relat', 'hydantoin', 'tautom', 'allantoin']"
1944,3550102,"5,7-dihydroxy-2-(4-hydroxyphenyl)-6-[3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl]-8-(3,4,5-trihydroxytetrahydro-2H-pyran-2-yl)-4H-chromen-4-one is a member of flavonoids and a C-glycosyl compound.",No annotation,0.966,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['dihydroxi', 'hydroxyphenyl', 'trihydroxi', 'hydroxymethyl', 'tetrahydro', 'h', 'pyran', 'yl', 'trihydroxytetrahydro', 'h', 'pyran', 'yl', 'h', 'chromen', 'one', 'member', 'flavonoid', 'c', 'glycosyl', 'compound']"
1945,14895,Dinsed is a sulfonamide.,Drug,0.4384,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['dins', 'sulfonamid']"
1946,756407,"1-(3-pyridinylmethyl)-3-[2-(trifluoromethyl)-1,3-benzodioxol-2-yl]urea is a member of benzodioxoles.",No annotation,0.9163,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['pyridinylmethyl', 'trifluoromethyl', 'benzodioxol', 'yl', 'urea', 'member', 'benzodioxol']"
1947,3245299,2-(2-ethoxyphenyl)-8-oxo-9-phenyl-7H-purine-6-carboxamide is a member of imidazoles.,No annotation,0.9249,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['ethoxyphenyl', 'oxo', 'phenyl', 'h', 'purin', 'carboxamid', 'member', 'imidazol']"
1948,976135,"5-(3,4-diethoxyphenyl)-3-pyridin-4-yl-1,2,4-oxadiazole is an oxadiazole and a ring assembly.",No annotation,0.9038,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['diethoxyphenyl', 'pyridin', 'yl', 'oxadiazol', 'oxadiazol', 'ring', 'assembl']"
1949,4284,"N,N-diethyl-m-toluamide is a monocarboxylic acid amide resulting from the formal condensation of the carboxy group of m-toluic acid with the nitrogen of diethylamine. First developed by the U.S. Army in 1946 for use by military personnel in insect-infested areas, it is the most widely used insect repellent worldwide. It has a role as an insect repellent, an environmental contaminant and a xenobiotic. It is a monocarboxylic acid amide and a member of benzamides. It is functionally related to a m-toluic acid.",Metabolite,0.5485,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['n', 'n', 'diethyl', 'toluamid', 'monocarboxyl', 'acid', 'amid', 'result', 'formal', 'condens', 'carboxi', 'group', 'toluic', 'acid', 'nitrogen', 'diethylamin', 'first', 'develop', 'u', 'armi', 'use', 'militari', 'personnel', 'insect', 'infest', 'area', 'wide', 'use', 'insect', 'repel', 'worldwid', 'role', 'insect', 'repel', 'environment', 'contamin', 'xenobiot', 'monocarboxyl', 'acid', 'amid', 'member', 'benzamid', 'function', 'relat', 'toluic', 'acid']"
1950,44292754,"2-[2-chloro-6-(cyclopentylamino)-9-purinyl]-5-(hydroxymethyl)-3-methyloxolane-3,4-diol is a purine nucleoside.",No annotation,0.9154,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['chloro', 'cyclopentylamino', 'purinyl', 'hydroxymethyl', 'methyloxolan', 'diol', 'purin', 'nucleosid']"
1951,9550241,2-(2-benzoyl-1-pyrrolyl)-N-methyl-N-(phenylmethyl)acetamide is an aromatic ketone.,No annotation,0.9324,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['benzoyl', 'pyrrolyl', 'n', 'methyl', 'n', 'phenylmethyl', 'acetamid', 'aromat', 'keton']"
1952,3272925,Schidigerasaponin D5 is a steroid saponin.,Drug,0.449,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['schidigerasaponin', 'steroid', 'saponin']"
1953,1024,"Pyrroloquinoline quinone is a pyrroloquinoline having oxo groups at the 4- and 5-positions and carboxy groups at the 2-, 7- and 9-positions. It has a role as a water-soluble vitamin (role), a cofactor, an antioxidant and an anti-inflammatory agent. It is a member of orthoquinones, a tricarboxylic acid and a pyrroloquinoline cofactor. It is a conjugate acid of a pyrroloquinoline quinone(3-).",Metabolite,0.5311,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['pyrroloquinolin', 'quinon', 'pyrroloquinolin', 'oxo', 'group', 'posit', 'carboxi', 'group', 'posit', 'role', 'water', 'solubl', 'vitamin', 'role', 'cofactor', 'antioxid', 'anti', 'inflammatori', 'agent', 'member', 'orthoquinon', 'tricarboxyl', 'acid', 'pyrroloquinolin', 'cofactor', 'conjug', 'acid', 'pyrroloquinolin', 'quinon']"
1954,449193,"Roflumilast is a benzamide obtained by formal condensation of the carboxy group of 3-(cyclopropylmethoxy)-4-(difluoromethoxy)benzoic acid with the amino group of 3,5-dichloropyridin-4-amine. Used for treatment of bronchial asthma and chronic obstructive pulmonary disease. It has a role as a phosphodiesterase IV inhibitor and an anti-asthmatic drug. It is a member of benzamides, a chloropyridine, an aromatic ether, an organofluorine compound and a member of cyclopropanes.",Drug,0.643,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['roflumilast', 'benzamid', 'obtain', 'formal', 'condens', 'carboxi', 'group', 'cyclopropylmethoxi', 'difluoromethoxi', 'benzoic', 'acid', 'amino', 'group', 'dichloropyridin', 'amin', 'use', 'treatment', 'bronchial', 'asthma', 'chronic', 'obstruct', 'pulmonari', 'diseas', 'role', 'phosphodiesteras', 'iv', 'inhibitor', 'anti', 'asthmat', 'drug', 'member', 'benzamid', 'chloropyridin', 'aromat', 'ether', 'organofluorin', 'compound', 'member', 'cyclopropan']"
1955,563347,1-(phenylmethyl)benzimidazole is a member of benzimidazoles.,No annotation,0.8657,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['phenylmethyl', 'benzimidazol', 'member', 'benzimidazol']"
1956,67114,"4-(diethylamino)benzaldehyde is a member of the class of benzaldehydes carrying a diethylamino substituent at position 4. It has a role as an EC 1.2.1.3 [aldehyde dehydrogenase (NAD(+))] inhibitor. It is a member of benzaldehydes, a tertiary amino compound and an aromatic amine.",Drug,0.7414,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['diethylamino', 'benzaldehyd', 'member', 'class', 'benzaldehyd', 'carri', 'diethylamino', 'substitu', 'posit', 'role', 'ec', 'aldehyd', 'dehydrogenas', 'nad', 'inhibitor', 'member', 'benzaldehyd', 'tertiari', 'amino', 'compound', 'aromat', 'amin']"
1957,3237701,"2-(2-methoxyethyl)-9-methyl-N-[3-(4-methyl-1-piperidinyl)propyl]-1-oxo-4-pyrido[3,4-b]indolecarboxamide is a member of beta-carbolines.",No annotation,0.8767,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['methoxyethyl', 'methyl', 'n', 'methyl', 'piperidinyl', 'propyl', 'oxo', 'pyrido', 'b', 'indolecarboxamid', 'member', 'beta', 'carbolin']"
1958,40828,"N,N-bis(2-hydroxypropyl)nitrosamine is a nitrosamine that is dipropylamine in which the hydrogen attached to the nitrogen has been replaced by a nitroso group. It is a genotoxic carcinogen, targeting the lung, liver, thyroid, and kidney. It has a role as a carcinogenic agent. It is a nitrosamine, a secondary alcohol and a diol.",Drug,0.8896,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['n', 'n', 'bis', 'hydroxypropyl', 'nitrosamin', 'nitrosamin', 'dipropylamin', 'hydrogen', 'attach', 'nitrogen', 'replac', 'nitroso', 'group', 'genotox', 'carcinogen', 'target', 'lung', 'liver', 'thyroid', 'kidney', 'role', 'carcinogen', 'agent', 'nitrosamin', 'secondari', 'alcohol', 'diol']"
1959,71771,"Aceclofenac is a monocarboxylic acid that is the carboxymethyl ester of diclofenac. A non-steroidal anti-inflammatory drug related to diclofenac, it is used in the management of osteoarthritis, rheumatoid arthritis, and ankylosing spondylitis. It has a role as an EC 1.14.99.1 (prostaglandin-endoperoxide synthase) inhibitor, a non-steroidal anti-inflammatory drug and a non-narcotic analgesic. It is a monocarboxylic acid, a carboxylic ester, a secondary amino compound, an amino acid and a dichlorobenzene. It is functionally related to a diclofenac.",Drug,0.6924,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['aceclofenac', 'monocarboxyl', 'acid', 'carboxymethyl', 'ester', 'diclofenac', 'non', 'steroid', 'anti', 'inflammatori', 'drug', 'relat', 'diclofenac', 'use', 'manag', 'osteoarthr', 'rheumatoid', 'arthriti', 'ankylos', 'spondyl', 'role', 'ec', 'prostaglandin', 'endoperoxid', 'synthas', 'inhibitor', 'non', 'steroid', 'anti', 'inflammatori', 'drug', 'non', 'narcot', 'analges', 'monocarboxyl', 'acid', 'carboxyl', 'ester', 'secondari', 'amino', 'compound', 'amino', 'acid', 'dichlorobenzen', 'function', 'relat', 'diclofenac']"
1960,123619,"Etoricoxib is a member of the class of bipyridines that is 2,3'-bipyridine which is substituted at the 3, 5, and 6' positions by 4-(methylsulfonyl)phenyl, chlorine, and methyl groups, respectively. It has a role as a cyclooxygenase 2 inhibitor and a non-steroidal anti-inflammatory drug. It is a sulfone, a member of bipyridines and an organochlorine compound.",Drug,0.7147,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['etoricoxib', 'member', 'class', 'bipyridin', 'bipyridin', 'substitut', 'posit', 'methylsulfonyl', 'phenyl', 'chlorin', 'methyl', 'group', 'respect', 'role', 'cyclooxygenas', 'inhibitor', 'non', 'steroid', 'anti', 'inflammatori', 'drug', 'sulfon', 'member', 'bipyridin', 'organochlorin', 'compound']"
1961,714483,2-[(dimethylamino)methyl]-4-methyl-6-(1-methylcyclohexyl)phenol is a ring assembly and an alkylbenzene.,No annotation,0.923,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['dimethylamino', 'methyl', 'methyl', 'methylcyclohexyl', 'phenol', 'ring', 'assembl', 'alkylbenzen']"
1962,17725,Tetramethylthiourea is a member of thioureas.,No annotation,0.7741,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['tetramethylthiourea', 'member', 'thiourea']"
1963,790567,4-acetamido-N-(2-phenylethyl)benzamide is an amidobenzoic acid.,No annotation,0.4784,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['acetamido', 'n', 'phenylethyl', 'benzamid', 'amidobenzo', 'acid']"
1964,9880620,"2-methyl-1,1,4-trioxo-N-(2-pyridinyl)-3H-1$l^{6},2-benzothiazine-3-carboxamide is a benzothiazine.",No annotation,0.831,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['methyl', 'trioxo', 'n', 'pyridinyl', 'h', 'l', 'benzothiazin', 'carboxamid', 'benzothiazin']"
1965,72193864,"AS1842856 is a quinolone that is 4-quinolone substituted at positions 1, 3, 5, 6 and 7 by ethyl, carboxy, amino, fluorine, and cyclohexylamino groups, respectively. It can directly bind to and block the transcription activity of the active forkhead box protein O1 (Foxo1), but not the Ser256-phosphorylated form. It induces cell death and growth arrest in Burkitt lymphoma cell lines at low concentrations. It has a role as a hypoglycemic agent, an anti-obesity agent, an autophagy inhibitor, an antineoplastic agent, an apoptosis inducer and a forkhead box protein O1 inhibitor. It is a quinolinemonocarboxylic acid, a quinolone, an organofluorine compound, a primary amino compound, a secondary amino compound and a tertiary amino compound.",Drug,0.9411,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['quinolon', 'quinolon', 'substitut', 'posit', 'ethyl', 'carboxi', 'amino', 'fluorin', 'cyclohexylamino', 'group', 'respect', 'direct', 'bind', 'block', 'transcript', 'activ', 'activ', 'forkhead', 'box', 'protein', 'foxo', 'ser', 'phosphoryl', 'form', 'induc', 'cell', 'death', 'growth', 'arrest', 'burkitt', 'lymphoma', 'cell', 'line', 'low', 'concentr', 'role', 'hypoglycem', 'agent', 'anti', 'obes', 'agent', 'autophagi', 'inhibitor', 'antineoplast', 'agent', 'apoptosi', 'induc', 'forkhead', 'box', 'protein', 'inhibitor', 'quinolinemonocarboxyl', 'acid', 'quinolon', 'organofluorin', 'compound', 'primari', 'amino', 'compound', 'secondari', 'amino', 'compound', 'tertiari', 'amino', 'compound']"
1966,25124816,"N-(2,6-difluorophenyl)-5-[3-[2-[5-ethyl-2-methoxy-4-[4-(4-methylsulfonyl-1-piperazinyl)-1-piperidinyl]anilino]-4-pyrimidinyl]-2-imidazo[1,2-a]pyridinyl]-2-methoxybenzamide is a member of benzamides.",No annotation,0.9553,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['n', 'difluorophenyl', 'ethyl', 'methoxi', 'methylsulfonyl', 'piperazinyl', 'piperidinyl', 'anilino', 'pyrimidinyl', 'imidazo', 'pyridinyl', 'methoxybenzamid', 'member', 'benzamid']"
1967,8778,Dodecyl hydrogen sulfate is an alkyl sulfate. It is a conjugate acid of a dodecyl sulfate.,Metabolite,0.9316,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['dodecyl', 'hydrogen', 'sulfat', 'alkyl', 'sulfat', 'conjug', 'acid', 'dodecyl', 'sulfat']"
1968,2998698,"N-(1,3-benzothiazol-2-yl)-2-oxolanecarboxamide is a member of benzothiazoles.",No annotation,0.9036,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['n', 'benzothiazol', 'yl', 'oxolanecarboxamid', 'member', 'benzothiazol']"
1969,2818504,"2-(3,5-dichlorophenyl)-5-(methylthio)-1,2,4-triazol-3-amine is a member of triazoles.",No annotation,0.9026,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['dichlorophenyl', 'methylthio', 'triazol', 'amin', 'member', 'triazol']"
1970,3760,"1-{2-[(2,6-dichlorobenzyl)oxy]-2-(2,4-dichlorophenyl)ethyl}imidazole is a member of the class of imidazoles that carries a 2-[(2,6-dichlorobenzyl)oxy]-2-(2,4-dichlorophenyl)ethyl group at position 1. It is a dichlorobenzene, an ether and a member of imidazoles.",No annotation,0.6022,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['dichlorobenzyl', 'oxi', 'dichlorophenyl', 'ethyl', 'imidazol', 'member', 'class', 'imidazol', 'carri', 'dichlorobenzyl', 'oxi', 'dichlorophenyl', 'ethyl', 'group', 'posit', 'dichlorobenzen', 'ether', 'member', 'imidazol']"
1971,5475,"Tilorone is a member of the class of fluoren-9-ones that is 9H-fluoren-9-one which is substituted by a 2-(diethylamino)ethoxy group at positions 2 and 7. It is an interferon inducer and a selective alpha7 nicotinic acetylcholine receptor (alpha7 nAChR) agonist. Its hydrochloride salt is used as an antiviral drug. It has a role as an antiviral agent, an interferon inducer, an antineoplastic agent, an anti-inflammatory agent and a nicotinic acetylcholine receptor agonist. It is a member of fluoren-9-ones, a tertiary amino compound, an aromatic ether and a diether. It is a conjugate base of a tilorone(2+).",Drug,0.8901,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['tiloron', 'member', 'class', 'fluoren', 'one', 'h', 'fluoren', 'one', 'substitut', 'diethylamino', 'ethoxi', 'group', 'posit', 'interferon', 'induc', 'select', 'alpha', 'nicotin', 'acetylcholin', 'receptor', 'alpha', 'nachr', 'agonist', 'hydrochlorid', 'salt', 'use', 'antivir', 'drug', 'role', 'antivir', 'agent', 'interferon', 'induc', 'antineoplast', 'agent', 'anti', 'inflammatori', 'agent', 'nicotin', 'acetylcholin', 'receptor', 'agonist', 'member', 'fluoren', 'one', 'tertiari', 'amino', 'compound', 'aromat', 'ether', 'diether', 'conjug', 'base', 'tiloron']"
1972,1049989,2-[3-(4-methoxyphenyl)-1-benzo[f]quinolinyl]acetic acid ethyl ester is a member of quinolines.,No annotation,0.7249,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['methoxyphenyl', 'benzo', 'f', 'quinolinyl', 'acet', 'acid', 'ethyl', 'ester', 'member', 'quinolin']"
1973,2564250,"4-[[6-[(2-methyl-5-thieno[2,3-e][1,3]benzothiazolyl)oxy]-3-pyridinyl]sulfonyl]morpholine is an aromatic ether.",No annotation,0.938,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['methyl', 'thieno', 'e', 'benzothiazolyl', 'oxi', 'pyridinyl', 'sulfonyl', 'morpholin', 'aromat', 'ether']"
1974,30627,Capobenic acid is a member of benzamides.,No annotation,0.5806,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['capoben', 'acid', 'member', 'benzamid']"
1975,49831043,"Sulfamic acid [4-[4-(2,3-dihydro-1H-inden-1-ylamino)-7-pyrrolo[2,3-d]pyrimidinyl]-2-hydroxycyclopentyl]methyl ester is a member of indanes.",No annotation,0.8658,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['sulfam', 'acid', 'dihydro', 'h', 'inden', 'ylamino', 'pyrrolo', 'pyrimidinyl', 'hydroxycyclopentyl', 'methyl', 'ester', 'member', 'indan']"
1976,115288,2-Amino-2-norbornanecarboxylic acid is a monoterpenoid.,Metabolite,0.8281,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['amino', 'norbornanecarboxyl', 'acid', 'monoterpenoid']"
1977,11485656,"Linifanib is a member of the class of phenylureas that is urea in which one of the nitrogens is substituted by a 2-fluoro-5-methylphenyl group, while the other is substituted by a p-(3-amino-1H-indazol-4-yl)phenyl group. It is a potent, selective inhibitor of vascular endothelial growth factor and platelet-derived growth factor receptor tyrosine kinases. It has a role as an antineoplastic agent, an EC 2.7.10.1 (receptor protein-tyrosine kinase) inhibitor and an angiogenesis inhibitor. It is an aromatic amine, a member of indazoles and a member of phenylureas.",Drug,0.8635,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['linifanib', 'member', 'class', 'phenylurea', 'urea', 'one', 'nitrogen', 'substitut', 'fluoro', 'methylphenyl', 'group', 'substitut', 'p', 'amino', 'h', 'indazol', 'yl', 'phenyl', 'group', 'potent', 'select', 'inhibitor', 'vascular', 'endotheli', 'growth', 'factor', 'platelet', 'deriv', 'growth', 'factor', 'receptor', 'tyrosin', 'kinas', 'role', 'antineoplast', 'agent', 'ec', 'receptor', 'protein', 'tyrosin', 'kinas', 'inhibitor', 'angiogenesi', 'inhibitor', 'aromat', 'amin', 'member', 'indazol', 'member', 'phenylurea']"
1978,3854666,1-(2-bromophenyl)-3-(2-hydroxy-4-nitrophenyl)urea is a nitrophenol.,No annotation,0.883,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['bromophenyl', 'hydroxi', 'nitrophenyl', 'urea', 'nitrophenol']"
1979,5281894,7-hydroxyflavone is a hydroxyflavonoid in which the flavone nucleus is substituted at position 7 by a hydroxy group.,Metabolite,0.7432,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['hydroxyflavon', 'hydroxyflavonoid', 'flavon', 'nucleus', 'substitut', 'posit', 'hydroxi', 'group']"
1980,2955,"Dapsone is a sulfone that is diphenylsulfone in which the hydrogen atom at the 4 position of each of the phenyl groups is substituted by an amino group. It is active against a wide range of bacteria, but is mainly employed for its actions against Mycobacterium leprae, being used as part of multidrug regimens in the treatment of all forms of leprosy. It has a role as an antimalarial, a leprostatic drug, an antiinfective agent and an anti-inflammatory drug. It is a sulfone and a substituted aniline. It is functionally related to a diphenyl sulfone.",Drug,0.9773,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['dapson', 'sulfon', 'diphenylsulfon', 'hydrogen', 'atom', 'posit', 'phenyl', 'group', 'substitut', 'amino', 'group', 'activ', 'wide', 'rang', 'bacteria', 'main', 'employ', 'action', 'mycobacterium', 'lepra', 'use', 'part', 'multidrug', 'regimen', 'treatment', 'form', 'leprosi', 'role', 'antimalari', 'leprostat', 'drug', 'antiinfect', 'agent', 'anti', 'inflammatori', 'drug', 'sulfon', 'substitut', 'anilin', 'function', 'relat', 'diphenyl', 'sulfon']"
1981,1893730,"XL147 is a sulfonamide that is the N-4-toluenesulfonyl (N-tosyl) derivative of N-(2,1,3-benzothiadiazol-5-yl)quinoxaline-2,3-diamine. A selective PI3K inhibitor used in cancer treatment. It has a role as an EC 2.7.1.137 (phosphatidylinositol 3-kinase) inhibitor and an antineoplastic agent. It is a sulfonamide, a quinoxaline derivative, a benzothiadiazole and an aromatic amine.",Drug,0.6362,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['xl', 'sulfonamid', 'n', 'toluenesulfonyl', 'n', 'tosyl', 'deriv', 'n', 'benzothiadiazol', 'yl', 'quinoxalin', 'diamin', 'select', 'pi', 'k', 'inhibitor', 'use', 'cancer', 'treatment', 'role', 'ec', 'phosphatidylinositol', 'kinas', 'inhibitor', 'antineoplast', 'agent', 'sulfonamid', 'quinoxalin', 'deriv', 'benzothiadiazol', 'aromat', 'amin']"
1982,64929,"Fenofibric acid is a monocarboxylic acid that is 2-methylpropanoic acid substituted by a 4-(4-chlorobenzoyl)phenoxy group at position 2. It is a metabolite of the drug fenofibrate. It has a role as a marine xenobiotic metabolite and a drug metabolite. It is a chlorobenzophenone, a monocarboxylic acid and an aromatic ketone.",Metabolite,0.6298,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['fenofibr', 'acid', 'monocarboxyl', 'acid', 'methylpropano', 'acid', 'substitut', 'chlorobenzoyl', 'phenoxi', 'group', 'posit', 'metabolit', 'drug', 'fenofibr', 'role', 'marin', 'xenobiot', 'metabolit', 'drug', 'metabolit', 'chlorobenzophenon', 'monocarboxyl', 'acid', 'aromat', 'keton']"
1983,4413,Nafamostat is a member of benzoic acids and a member of guanidines.,Metabolite,0.3976,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['nafamostat', 'member', 'benzoic', 'acid', 'member', 'guanidin']"
1984,2456622,"2-(2,3-dichlorophenoxy)-N-(2,3-dihydro-1H-inden-5-yl)acetamide is a member of indanes.",No annotation,0.9265,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['dichlorophenoxi', 'n', 'dihydro', 'h', 'inden', 'yl', 'acetamid', 'member', 'indan']"
1985,698112,"6-phenyl-2-imidazo[2,1-b][1,3,4]thiadiazolesulfonamide is a member of imidazoles.",No annotation,0.8878,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['phenyl', 'imidazo', 'b', 'thiadiazolesulfonamid', 'member', 'imidazol']"
1986,5775,"Phentolamine is a substituted aniline that is 3-aminophenol in which the hydrogens of the amino group are replaced by 4-methylphenyl and 4,5-dihydro-1H-imidazol-2-ylmethyl groups respectively. An alpha-adrenergic antagonist, it is used for the treatment of hypertension. It has a role as an alpha-adrenergic antagonist and a vasodilator agent. It is a member of imidazoles, a member of phenols, a tertiary amino compound and a substituted aniline.",Drug,0.7596,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['phentolamin', 'substitut', 'anilin', 'aminophenol', 'hydrogen', 'amino', 'group', 'replac', 'methylphenyl', 'dihydro', 'h', 'imidazol', 'ylmethyl', 'group', 'respect', 'alpha', 'adrenerg', 'antagonist', 'use', 'treatment', 'hypertens', 'role', 'alpha', 'adrenerg', 'antagonist', 'vasodil', 'agent', 'member', 'imidazol', 'member', 'phenol', 'tertiari', 'amino', 'compound', 'substitut', 'anilin']"
